Ref_,Produto
6011,PA6+TPE30 SH10% MOIDO NATURAL
6006,PA6 MOIDO RAL 7035
5019,ABS FA COR-8183
6021,PA6 60% VIDRO
5009,ABS MOIDO PRETO BASES
4016,TPU MIRATHANE E180 80A SHOR
6016,PA66 FR NATURAL
4020,TPU ELASTOLLAN 1195 A 10 000
33031,CORANTE CI 281337
4001,TPV 62M-100
5018,ABS FA CINZENTO -81284
5022,ABS FA COR-81659
7000,PELD
33019,CORANTE MB 81806 RAL 7042 CINZENTO
5013,ABS TARILAC
1106,ALMA F3 - Durostat 450
1206,ALMA H3 - Durostat 450
1205,ALMA H2 - Durostat 450
1105,ALMA F2 - Durostat 450
7001,PS STERLUXION NATURAL
6018,PA6 15% GF V0 NATURAL
5017,ABS CINZENTO - 82130
4009,TPE 70 SHORE NATURAL KRAIBURG
33012,CORANTE MB 81716 PRETO
4012,TPE 80 SHORE RAVAGO
1059021,5106043 - Lock Backrest-Stay
1049012,""60126221 - Hand control box complete Nordbed kid"""
1203,ALMA H3 - S235JR
1104,ALMA F3 - S235JR
33007,CORANTE MB 82332 PRETO
1103,ALMA F2 - S235JR
1204,ALMA H2 - S235JR
4021,TPU ELASTOLLAN 1164 D 53
1059014,5221217 - Handwheel with lock (Revision: 07)
1059016,1444175 - Handwheel M12 (Revision: 01)
4007,(TPV) Santoprene 111-45 Preto
6009,PA6 30%GF NANOCARGAS PROMYDE  B30 100
6017,PA66 VYDYNE
4013,TPE 80 SHOR MOIDO
4010,TPE 80 SHORT A SP PRETO  MCPP
4008,TPE 80 SHORE BK RAVAGO
5003,ABS FL FLEXACO COR-3217
5004,ABS FL FLEXACO COR-3185
6002,PA6 BK RECOMYDE PRETO
4017,TPU MIRATHANE E165D 65D SHOR
6010,PA6 NATURAL 27
6019,PA66 30% FV BK PRETO
2,Equipamentos
5008,ABS+MB1933(5%) MOIDO - BRANCO
32001,CAIXAS CANELADO D\1 60-40-40
05221617,METALIC INSERT
5010,ABS NATURAL
5015,ABS MOIDO PRETO
1009008,FEMEA R FUSO P SONATA
1059020,5106042 - Back Rest-Stay Mounting
1059007,1434707 - Fixation External Pushandle (Revision: 08)
5007,ABS PRETO
9002,PP20 G30 CA GF
1009019,Braçadeira Movel NY6 Q 25
1009003,MANGO MANIVELA SONATA 1523889
8001,POM 40%GF 807Z NATURAL
1059012,5221115- Handwheel Knob M8x25 (Revision: 06)
01552628,METALIC INSERT - ARAME CONFORMADO
1009011,Suporte Plastico Sonata 7042 Esq
10090111,Suporte Plastico Sonata 7042 Dir
1059001,1652273- Rear Frame Protection compact (Revision: A)
1009049,1649746 - ISA - Internal Linear Guide
1063001,60125915 (Lock 1 - Plastic Housing 1 )
1061005875,ABS / PC - Bayblend T45 PG
5028,ABS - P2MC CINZENTO
8003,POM PRETO MOIDO KEPITAL
5001,ABS FL FLEXACO COR-3181
8004,POM PRETO KEPITAL F20-03 BLW W251
6032,PA6 40% CM MINLON NC010
4019,TPU Ravathane 130 A80 Natural
5026,ABS GA 300 Preto - 5209 - Polimaxx
1009046,1646813 - Bplus actuator cover upper part - left
1009047,1646814 - Bplus actuator cover upper part right
32005,CAIXA C13 C/TAMPA
6013,PA66 RAD.S HS 164 NT - PA1250 B
6012,PA66 RAD.S HS RADILON 105M PA1250 B
1009060,60130480-7035 ISA EIXO PLASTICO
1049010,60126220 - Handset Box Base Nordberd Junior
1049005,1653793 - CENTRAL SLIPPING COMP. DSUB-FRAME ADV
1078009,BBO_P01_BASE
5002,ABS FL FLEXACO COR-3352
01492120,METALIC INSERT
1009065,320597 - Kit Pega Pendural Medley
1049009,60126219 - Handset Box Base Nordbed Junior
10090112,Suporte Plastico Sonata 7042 Pino
1009022,Medley Ergo GL 1177388
1009066,60146984 - Conj Pedal Drt SB755 Travao Central
1009067,60146985 - Conj Pedal Esq SB755 Travao Central
20664510,Savanna - Pen tray
1045002,Clip 2843 - Fastener
9001,PP COPO NATURAL
1009059,1654055 - Peça PA batente braço ISA
10001,Componyl PVC injecção 72 sha Preto (Fórmula alterada para reduzir odor a plástico)
1059013,5221122 - Handwheel M12 Spring (Revision: 02)
1059004,1435421-Handle plastic black Ø22
32006,CAIXA REGUAS - 01.2130.0002
32009,CAIXA DE FERRADURAS
1059010,60130340 - Plastic Cap for Rectangular Tube (Revision: A~03)
1049011,""60129016 - Run injected nord bed kid"""
1009035,Diana GL Casquilho 7042
1059017,1570638 - Rail Brake (Revision: G)
1059015,1429326 - Handwheel M10 Spring (Revision: 03)
8002,POM KEPITAL NATURAL F20-03 LOF
Desconto,Desconto
1009061,60130479-7035 ISA PEÇA DE FIXAÇÃO PEGAS
1009057,1654341- Enrolador de cabo ISA
1009032,Guide Cable  1177260
1009021,Medley DC  1177159
01492429,METALIC INSERT - SCREW M4*8
01429324,METALIC INSERT
01429325,METALIC INSERT
1200,BRASS METAL INSERT M3/8*16
219593,ALÇA PENDURAL
1009058,1654869- Espaçador exterior apoio joelhos ISA
01564721,METALIC INSERT
1009062,60130478-7016 ISA CHAPA DE COBERTURA
1033001,Fechos dos Armários
1059009,1570013 - Armrest Attachment Self Locking CLP (Revision: 00)
1009041,Finger protection - 1645767
1059005,""5106289 Attachment  Armrest"""
6031,PA6 FV IQ NERO 9297
01537619,METALIC INSERT
1009023,Medley DC Plast 1 Ass.  1177160
01492231,METALIC INSERT - Tira de Aluminio
317837,SUSPENSAO PENDURAL
1009037,Pedal cover Borracha - 1645588
1009015,Manipulo de Abertura 1554053
1009038,Plastic Cover - 1645718
0M6,METALIC INSERT - PORCA M6 AUTOBLOCANTE
1009048,""1649745 - ISA - Plastic Release Lever"""
1009064,60133000 - Bcompact Clip Actuador TA23 Timotion
32007,CAIXA A4-90
32008,CAIXA A4-45
1009051,1653916 - ISA - Plastic. Right sling hook
1009052,1653914 - ISA - Plastic. Left sling hook
1059008,1536056- PEG Heel Strap (Revision: 02)
1009042,Actuator Holder - 1645768
1009050,""1649747 - ISA - Plastic Entrapment protectio"""
1009036,Spreaderbar Holder - 1645517
1049003,1652348 - CENTRAL SLIPPING COMP. SUB-FRAME
1049007,1644678 - CASTOR SIDE PLASTIC COVER 015MM
1049006,1643870 - ROUND INSERT FOR 33MM INNER DIAMETER TUBE
05726051,METALIC INSERT
1009040,Plastic 1 cable fitting - 1645924
1009039,Plastic 2 Cable fitting- 1645765
1049001,""1653605 - PIN MATTRESS SUP. EXTENSION M16"""
1049008,1644688 - LONG SHEAR ARM PLASTIC CLIP
1009055,1654292 - Birdie Evo X Proteção de dedos
1049004,1653609 - CABLE CLIP
1036002,TAMPA PROTECÇÃO DA DOBRADIÇA
01432833,CORDA
1009024,.Medley DC Plant 2   1177161
1049002,""1653604 - NUT MATTRESS SUP. EXTENSION M 16"""
1059018,5221280 - Brakebar Handle (Revision: 03)
1059003,1435420 - Handle Inv. for Back Ø20 (Revision: 04)
1009033,Fecho Lastro 52x37.5x20 7035
319171,TRAVAO PENDURAL
1081003,1600000218 - S_Plastic Clip 8118_802
1009044,Plastic cover swallowtail - 1646437
1051001,Clip Aero - MS20000512
01493115,METALIC INSERT - PARALLEL PINS TOLERANCE N6
01492472,METALIC INSERT
1081004,1600000216 - S_Plastic Clip 8124_802
1079001,Clip 2472_102_J
1081005,1600000217 - S_Plastic Clip 8124_803
1059002,1425473- Handle Inv. for back Ø22 (Revision: 3)
1026002,TIRE COURANT - 1SAM13 - ABS - CINZA
1045007,Serie Clip 4127
1081002,1600000206 - S_Plastic Clip 8117_802
1009016,Engate Plastico 1554048
20665010,Savanna - Corner
1026001,TIRE COURANT- 1SAM11 - ABS/PC NAT
1052004,Clamp Binding Profile Outer - PRO-070-0018 POMF20-03 BLACK
1081001,Clip 2472_102
